study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.0333333333333334,5.509632500001317,,,,,,,,,,0,0,0,2,,,,,0.02204410000013013,,0.01116580000052636,0.02204410000013013,0.02204410000013013,5.5367317000000185,1.0333333333333334,5.509632500001317,,,,,,,,,,,,,,,p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
vase,1,1,0,2.0296296296296297,2.56190609999976,,,,,,,,,,0,1,1,0,,,,,5.552830900000117,,5.541182599999956,5.552830900000117,5.552830900000117,8.11806930000057,2.0296296296296297,2.56190609999976,,,,,,,,,,,,,,,p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
cushion,2,2,0,2.0296296296296297,1.2790024999994785,,,,,,,,,,0,2,2,3,,,,,8.134211900000082,,8.123120300000664,8.134211900000082,8.134211900000082,9.416963900001065,2.0296296296296297,1.2790024999994785,,,,,,,,,,,,,,,p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
piano,3,3,0,2.0296296296296297,1.446474300000773,,,,,,,,,,0,3,3,4,,,,,9.432920200000808,,9.420195400000011,9.432920200000808,9.432920200000808,10.882446900001014,2.0296296296296297,1.446474300000773,,,,,,,,,,,,,,,p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
tiger,4,4,0,2.0296296296296297,1.695493199998964,,,,,,,,,,0,4,4,1,,,,,10.89833340000041,,10.886260200000834,10.89833340000041,10.89833340000041,12.598221000000194,2.0296296296296297,1.695493199998964,,,,,,,,,,,,,,,p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,0,0,0,,,c_m_r_,,[],[],[],[],[],[],[],,,,,0,0,0,6,12.613507800000662,,,,,,,,12.606311500001539,12.613507800000662,12.613507800000662,12.613507800000662,0.008070699999734643,22.605725500001427,,[],[],[],[],[],[],[],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,1,1,0,,,Bo_t_e,boot,[],[],[],[],[],[],[],,,,,0,1,1,8,22.622219900000346,,,,,,,,22.609935399999813,22.622219900000346,22.622219900000346,22.622219900000346,0.011694899998474284,32.61415450000095,boot,[],[],[],[],[],[],[],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,2,2,0,,,_pad_,spa,[],[],[],[],[],[],[],,,,,0,2,2,7,32.63078310000128,,,,,,,,32.61893340000097,32.63078310000128,32.63078310000128,32.63078310000128,0.020700099999885424,42.60624270000153,spa,[],[],[],[],[],[],[],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,3,3,0,,,c_s_i_n,cousin'=,[np.float64(-0.005555555555555556)],[np.float64(-0.3194444444444444)],[1],[0],[0],[6.961132599999473],['text_3'],,,,,0,3,3,3,42.623442300000534,,,,,,,,42.60989750000044,42.623442300000534,42.623442300000534,42.623442300000534,0.011673299999529263,49.57142980000026,cousin'=,[np.float64(-0.005555555555555556)],[np.float64(-0.3194444444444444)],[1],[0],[0],[6.961132599999473],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,4,4,0,,,o_a_n_e,,[np.float64(-0.011111111111111112)],[np.float64(-0.31851851851851853)],[1],[0],[0],[7.41792549999991],['text_3'],,,,,0,4,4,9,49.58703520000017,,,,,,,,49.576248500001384,49.58703520000017,49.58703520000017,49.58703520000017,0.00463829999898735,56.99449890000142,,[np.float64(-0.011111111111111112)],[np.float64(-0.31851851851851853)],[1],[0],[0],[7.41792549999991],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,5,5,0,,,s_h_o_,school,[np.float64(-0.020370370370370372)],[np.float64(-0.2935185185185185)],[1],[0],[0],[5.212504400000398],['text_3'],,,,,0,5,5,2,57.010439900001074,,,,,,,,56.99623210000027,57.010439900001074,57.010439900001074,57.010439900001074,0.001660099998844089,62.20896640000137,school,[np.float64(-0.020370370370370372)],[np.float64(-0.2935185185185185)],[1],[0],[0],[5.212504400000398],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,6,6,0,,,c_a_t,,[np.float64(-0.8768518518518519)],[np.float64(-0.2037037037037037)],[1],[0],[0],[9.537838000000193],[None],,,,,0,6,6,4,62.223093399999925,,,,,,,,62.21188560000155,62.223093399999925,62.223093399999925,62.223093399999925,0.002800400001433445,72.21498210000027,,[np.float64(-0.8768518518518519)],[np.float64(-0.2037037037037037)],[1],[0],[0],[9.537838000000193],[None],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,7,7,0,,,b_o_,"book
",[np.float64(-0.10648148148148148)],[np.float64(-0.30092592592592593)],[1],[0],[0],[8.927476299999398],['text_3'],,,,,0,7,7,5,72.23141550000037,,,,,,,,72.2175729999999,72.23141550000037,72.23141550000037,72.23141550000037,0.008485400001518428,81.14543400000002,"book
",[np.float64(-0.10648148148148148)],[np.float64(-0.30092592592592593)],[1],[0],[0],[8.927476299999398],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,8,8,0,,,t_g_r,tiger,[np.float64(-0.06944444444444445)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.509785800000827],['text_3'],,,,,0,8,8,1,81.15755119999994,,,,,,,,81.14858910000112,81.15755119999994,81.15755119999994,81.15755119999994,0.00300500000048487,85.6587797000011,tiger,[np.float64(-0.06944444444444445)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.509785800000827],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
,9,9,0,,,v_s_,vase,[np.float64(-0.06944444444444445)],[np.float64(-0.30462962962962964)],[1],[0],[0],[2.457737700000507],['text_3'],,,,,0,9,9,0,85.67066030000024,,,,,,,,85.66211140000087,85.67066030000024,85.67066030000024,85.67066030000024,0.003197300000465475,88.12021040000036,vase,[np.float64(-0.06944444444444445)],[np.float64(-0.30462962962962964)],[1],[0],[0],[2.457737700000507],['text_3'],p3,001,2025-10-16_12h24.03.439,wordpriming,,2025.1.1,60.10695431459131,2025-10-16 12h24.15.252938 +0530,
