word,colour,St_condition,Correct_Re,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,text_2.started,text_2.stopped,inst.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.002329399998416193,0.006621699998504482,5.035388099997363,4.993569199999911,,,,,,,,,,,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,blue,Cong,b,0,0,0,b,1,1.0461188000008406,None,0,0,0,3,5.035388099997363,,,,,,5.030716400000529,5.035388099997363,5.509034700000484,5.509034700000484,5.509034700000484,6.618249799998011,b,1,1.0461188000008406,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,blue,Incong,b,1,1,0,r,0,0.821951199999603,None,0,1,1,1,6.625862099997903,,,,,,6.623171899998852,6.625862099997903,7.124303799999325,7.124303799999325,7.124303799999325,7.95802729999923,r,0,0.821951199999603,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,red,Cong,r,2,2,0,r,1,1.8530461000009382,None,0,2,2,0,7.973935199999687,,,,,,7.959130899998854,7.973935199999687,8.473040099997888,8.473040099997888,8.473040099997888,10.338861000000179,r,1,1.8530461000009382,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,red,Incong,r,3,3,0,b,0,0.8316472000005888,None,0,3,3,2,10.354901200000313,,,,,,10.342513899999176,10.354901200000313,10.8545916999974,10.8545916999974,10.8545916999974,11.687605299997813,b,0,0.8316472000005888,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,red,Cong,r,4,0,1,r,1,0.6639540000032866,None,1,0,4,0,11.703895599999669,,,,,,11.690630299999611,11.703895599999669,12.203417199998512,12.203417199998512,12.203417199998512,12.870144900000014,r,1,0.6639540000032866,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,red,Incong,r,5,1,1,r,1,2.755264999999781,None,1,1,5,2,12.886158599998453,,,,,,12.873826999999437,12.886158599998453,13.369351800000004,13.369351800000004,13.369351800000004,16.134703299998364,r,1,2.755264999999781,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,blue,Incong,b,6,2,1,b,1,1.7326830999991216,None,1,2,6,1,16.150356199999806,,,,,,16.139096700000664,16.150356199999806,16.649985399999423,16.649985399999423,16.649985399999423,18.398807399997168,b,1,1.7326830999991216,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,blue,Cong,b,7,3,1,b,1,0.9413777999980084,None,1,3,7,3,18.414882499997475,,,,,,18.40226039999834,18.414882499997475,18.897721499997715,18.897721499997715,18.897721499997715,19.84753389999969,b,1,0.9413777999980084,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,blue,Incong,b,8,0,2,b,1,2.359118299998954,None,2,0,8,1,19.863690399997722,,,,,,19.852228299998387,19.863690399997722,20.346630599997297,20.346630599997297,20.346630599997297,22.712074200000643,b,1,2.359118299998954,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,red,Cong,r,9,1,2,r,1,2.052187999997841,None,2,1,9,0,22.728218500000366,,,,,,22.712593000000197,22.728218500000366,23.211083499998495,23.211083499998495,23.211083499998495,25.276848999998037,r,1,2.052187999997841,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,blue,Cong,b,10,2,2,b,1,0.7518402999994578,None,2,2,10,3,25.292708400000265,,,,,,25.27998429999934,25.292708400000265,25.792076599998836,25.792076599998836,25.792076599998836,26.55913849999706,b,1,0.7518402999994578,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
BLUE,red,Incong,r,11,3,2,r,1,1.162722200002463,None,2,3,11,2,26.581214800000453,,,,,,26.55966769999941,26.581214800000453,27.074503799998638,27.074503799998638,27.074503799998638,28.2405777999993,r,1,1.162722200002463,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
RED,red,Cong,r,12,0,3,r,1,1.0844539000026998,None,3,0,12,0,28.257121700000425,,,,,,28.242971899999247,28.257121700000425,28.739713499999198,28.739713499999198,28.739713499999198,29.83991409999726,r,1,1.0844539000026998,None,002,001,2025-08-23_10h57.48.219,untitled,,2025.1.1,60.01377916425628,2025-08-23 10h58.17.910438 +0530,
