word,colour,St_condition,Correct_Re,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,text_2.started,text_2.stopped,inst.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0038559000022360124,0.009297200002038153,5.031655200000387,4.998865699999442,,,,,,,,,,,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,blue,Cong,b,0,0,0,b,1,1.3109632999985479,None,0,0,0,3,5.031655200000387,,,,,,5.025614099999075,5.031655200000387,5.514555400000972,5.514555400000972,5.514555400000972,6.847422800001368,b,1,1.3109632999985479,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,red,Incong,r,1,1,0,r,1,1.2600567000008596,None,0,1,1,2,6.85016380000161,,,,,,6.847928400002274,6.85016380000161,7.362952800001949,7.362952800001949,7.362952800001949,8.628880300002493,r,1,1.2600567000008596,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,blue,Incong,b,2,2,0,r,0,1.229924299997947,None,0,2,2,1,8.645254600000044,,,,,,8.636755400002585,8.645254600000044,9.128194000000803,9.128194000000803,9.128194000000803,10.360986399999092,r,0,1.229924299997947,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,red,Cong,r,3,3,0,r,1,1.0210552999997162,None,0,3,3,0,10.37716680000085,,,,,,10.361568600001192,10.37716680000085,10.860273199999938,10.860273199999938,10.860273199999938,11.893172700001742,r,1,1.0210552999997162,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,blue,Cong,b,4,0,1,b,1,0.8352729000034742,None,1,0,4,3,11.909391699999105,,,,,,11.897623400000157,11.909391699999105,12.40900110000075,12.40900110000075,12.40900110000075,13.258889100001397,b,1,0.8352729000034742,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,red,Incong,r,5,1,1,r,1,1.1720669999995152,None,1,1,5,2,13.274779300001683,,,,,,13.25998669999899,13.274779300001683,13.774390400001721,13.774390400001721,13.774390400001721,14.957546300000104,r,1,1.1720669999995152,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,red,Cong,r,6,2,1,r,1,1.261404400000174,None,1,2,6,0,14.973452300000645,,,,,,14.960514500002319,14.973452300000645,15.472927800001344,15.472927800001344,15.472927800001344,16.739293999999063,r,1,1.261404400000174,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,blue,Incong,b,7,3,1,b,1,1.0355208000000857,None,1,3,7,1,16.755570799999987,,,,,,16.739994300001854,16.755570799999987,17.25496109999949,17.25496109999949,17.25496109999949,18.304328500002157,b,1,1.0355208000000857,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,blue,Cong,b,8,0,2,b,1,0.9378434999998717,None,2,0,8,3,18.320598500002234,,,,,,18.3072788999998,18.320598500002234,18.803642599999876,18.803642599999876,18.803642599999876,19.753458300001512,b,1,0.9378434999998717,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,red,Cong,r,9,1,2,r,1,0.9381823999974586,None,2,1,9,0,19.769497000001138,,,,,,19.757736499999737,19.769497000001138,20.268971900000906,20.268971900000906,20.268971900000906,21.218753900000593,r,1,0.9381823999974586,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,red,Incong,r,10,2,2,r,1,1.1280652999994345,None,2,2,10,2,21.234764500000892,,,,,,21.221825700002228,21.234764500000892,21.717938600002526,21.717938600002526,21.717938600002526,22.85114969999995,r,1,1.1280652999994345,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,blue,Incong,b,11,3,2,r,0,1.5605605999990075,None,2,3,11,1,22.86692630000107,,,,,,22.85490270000082,22.86692630000107,23.3666140000023,23.3666140000023,23.3666140000023,24.932370000002265,r,0,1.5605605999990075,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,red,Incong,r,12,0,3,r,1,1.522321500000544,None,3,0,12,2,24.948595300000306,,,,,,24.936168200001703,24.948595300000306,25.431419900000037,25.431419900000037,25.431419900000037,26.96395080000002,r,1,1.522321500000544,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
BLUE,blue,Cong,b,13,1,3,b,1,1.319332700000814,None,3,1,13,3,26.980111299999407,,,,,,26.964549700001953,26.980111299999407,27.46310799999992,27.46310799999992,27.46310799999992,28.79592430000048,b,1,1.319332700000814,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,blue,Incong,b,14,2,3,b,1,1.3948743000000832,None,3,2,14,1,28.812074600002234,,,,,,28.79818349999914,28.812074600002234,29.31153070000073,29.31153070000073,29.31153070000073,30.710982700002205,b,1,1.3948743000000832,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
RED,red,Cong,r,15,3,3,r,1,0.9210629999979574,None,3,3,15,0,30.72718960000202,,,,,,30.711415900001157,30.72718960000202,31.210197600001266,31.210197600001266,31.210197600001266,32.143283400000655,r,1,0.9210629999979574,None,003,001,2025-08-23_10h59.44.847,untitled,,2025.1.1,60.033991245644174,2025-08-23 10h59.53.528672 +0530,
